from,to,ref,value,quality,parameter_id,station_id,date
1699142401000.0,1699228800000.0,2023-11-05,6.8,Y,2,82230,
1699228801000.0,1699315200000.0,2023-11-06,7.2,Y,2,82230,
1699315201000.0,1699401600000.0,2023-11-07,5.7,Y,2,82230,
1699401601000.0,1699488000000.0,2023-11-08,5.2,Y,2,82230,
1699488001000.0,1699574400000.0,2023-11-09,7.3,Y,2,82230,
1699574401000.0,1699660800000.0,2023-11-10,4.4,Y,2,82230,
1699660801000.0,1699747200000.0,2023-11-11,4.2,Y,2,82230,
1699747201000.0,1699833600000.0,2023-11-12,4.7,Y,2,82230,
1699833601000.0,1699920000000.0,2023-11-13,1.8,Y,2,82230,
1699920001000.0,1700006400000.0,2023-11-14,1.4,Y,2,82230,
1700006401000.0,1700092800000.0,2023-11-15,0.2,Y,2,82230,
1700092801000.0,1700179200000.0,2023-11-16,-0.4,Y,2,82230,
1700179201000.0,1700265600000.0,2023-11-17,-0.0,Y,2,82230,
1700265601000.0,1700352000000.0,2023-11-18,-0.3,Y,2,82230,
1700352001000.0,1700438400000.0,2023-11-19,-0.4,Y,2,82230,
1700438401000.0,1700524800000.0,2023-11-20,1.1,Y,2,82230,
1700524801000.0,1700611200000.0,2023-11-21,0.3,Y,2,82230,
1700611201000.0,1700697600000.0,2023-11-22,3.1,Y,2,82230,
1700697601000.0,1700784000000.0,2023-11-23,6.5,Y,2,82230,
1700784001000.0,1700870400000.0,2023-11-24,1.0,Y,2,82230,
1700870401000.0,1700956800000.0,2023-11-25,-3.0,Y,2,82230,
1700956801000.0,1701043200000.0,2023-11-26,-6.9,Y,2,82230,
1701043201000.0,1701129600000.0,2023-11-27,-3.8,Y,2,82230,
1701129601000.0,1701216000000.0,2023-11-28,-9.0,Y,2,82230,
1701216001000.0,1701302400000.0,2023-11-29,-5.4,Y,2,82230,
1701302401000.0,1701388800000.0,2023-11-30,-2.5,Y,2,82230,
1701388801000.0,1701475200000.0,2023-12-01,-7.0,Y,2,82230,
1701475201000.0,1701561600000.0,2023-12-02,-6.0,Y,2,82230,
1701561601000.0,1701648000000.0,2023-12-03,-6.9,Y,2,82230,
1701648001000.0,1701734400000.0,2023-12-04,-5.5,Y,2,82230,
1701734401000.0,1701820800000.0,2023-12-05,-4.7,Y,2,82230,
1701820801000.0,1701907200000.0,2023-12-06,-2.4,Y,2,82230,
1701907201000.0,1701993600000.0,2023-12-07,-2.8,Y,2,82230,
1701993601000.0,1702080000000.0,2023-12-08,-0.8,Y,2,82230,
1702080001000.0,1702166400000.0,2023-12-09,0.6,Y,2,82230,
1702166401000.0,1702252800000.0,2023-12-10,1.0,Y,2,82230,
1702252801000.0,1702339200000.0,2023-12-11,0.7,Y,2,82230,
1702339201000.0,1702425600000.0,2023-12-12,-1.0,Y,2,82230,
1702425601000.0,1702512000000.0,2023-12-13,-2.7,Y,2,82230,
1702512001000.0,1702598400000.0,2023-12-14,-3.7,Y,2,82230,
1702598401000.0,1702684800000.0,2023-12-15,1.6,Y,2,82230,
1702684801000.0,1702771200000.0,2023-12-16,6.5,Y,2,82230,
1702771201000.0,1702857600000.0,2023-12-17,7.4,Y,2,82230,
1702857601000.0,1702944000000.0,2023-12-18,7.2,Y,2,82230,
1702944001000.0,1703030400000.0,2023-12-19,4.8,Y,2,82230,
1703030401000.0,1703116800000.0,2023-12-20,1.9,Y,2,82230,
1703116801000.0,1703203200000.0,2023-12-21,0.6,Y,2,82230,
1703203201000.0,1703289600000.0,2023-12-22,-1.4,Y,2,82230,
1703289601000.0,1703376000000.0,2023-12-23,-7.2,Y,2,82230,
1703376001000.0,1703462400000.0,2023-12-24,-4.2,Y,2,82230,
1703462401000.0,1703548800000.0,2023-12-25,0.4,Y,2,82230,
1703548801000.0,1703635200000.0,2023-12-26,-3.4,Y,2,82230,
1703635201000.0,1703721600000.0,2023-12-27,-3.9,Y,2,82230,
1703721601000.0,1703808000000.0,2023-12-28,1.1,Y,2,82230,
1703808001000.0,1703894400000.0,2023-12-29,4.0,Y,2,82230,
1703894401000.0,1703980800000.0,2023-12-30,-0.3,Y,2,82230,
1703980801000.0,1704067200000.0,2023-12-31,-0.2,Y,2,82230,
1704067201000.0,1704153600000.0,2024-01-01,-0.7,Y,2,82230,
