station_id,name,longitude,latitude,height
188790,Abisko Aut,18.8164,68.3538,392.303
97280,Adelsö A,17.5213,59.3579,5.612
99090,Almagrundet A,19.1298,59.1547,3.0
167710,Arjeplog A,17.8396,66.0513,430.839
159880,Arvidsjaur A,19.2642,65.5941,382.45
92410,Arvika A,12.6354,59.6743,65.758
84340,Axstål,14.557,58.571,88.5
98040,Berga,18.115,59.068,4.3
151280,Bjuröklubb A,21.5754,64.4799,35.41
92130,Blomskog A,12.0754,59.2213,169.645
132110,Blåhammaren A,12.1734,63.1854,1086.952
161940,Boden,21.635,65.814,25.2
127130,Brämön A,17.739,62.2198,18.13
157870,Buresjön A,17.8554,65.558,394.05
123460,Börtnan A,13.8427,62.7548,467.246
94390,Daglösen A,14.1803,59.6612,133.077
116490,Delsbo A,16.5385,61.8264,70.667
123060,Dravagen A,13.6086,62.0936,566.642
115220,Edsbyn A,15.7144,61.3607,183.648
107440,Eggegrund A,17.5584,60.7298,3.731
97370,Enköping,17.12,59.65,24.6
96190,Eskilstuna A,16.4526,59.3821,12.577
52240,Falsterbo A,12.8166,55.3837,1.575
107140,Film A,17.9043,60.2358,33.381
96040,Floda A,16.3944,59.0558,31.337
148040,Fredrika A,18.3619,64.0744,327.684
78550,Fårösund Ar A,18.9533,57.9165,12.756
134410,Föllinge A,14.6048,63.6761,361.8
155790,Gielas A,15.0645,65.3269,578.328
76420,Gladhammar A,16.4526,57.7068,35.277
89230,Gotska Sandön A,19.194,58.3939,15.911
145130,Gubbhögen A,15.5529,64.2172,310.221
147560,Gunnarn A,17.6993,65.0094,275.491
87360,Gustaf Dalen A,17.4704,58.5929,25.0
103100,Gustavsfors A,13.799,60.1533,187.153
144310,Gäddede A,14.2207,64.5044,553.025
180760,Gällivare A,20.6413,67.1407,358.975
107420,Gävle A,17.1607,60.7161,16.125
84520,Gårdsjö A,14.3875,58.8768,210.675
71420,Göteborg A,11.9924,57.7156,3.038
74180,Hagshult,14.137,57.292,169.6
62260,Hallands Väderö A,12.5453,56.4496,9.172
135460,Hallhåxåsen A,15.3279,63.7685,375.391
114410,Hamra A,14.9918,61.6599,453.588
64020,Hanö A,14.8463,56.0135,58.622
163960,Haparanda A,24.1112,65.8237,13.243
87140,Harstena A,17.0074,58.2506,5.0
62040,Helsingborg A,12.7628,56.0304,43.07
155960,Hemavan-Gierevarto A,15.0623,65.7813,793.504
138390,Hemling A,18.5466,63.6503,182.186
68560,Hoburg A,18.1506,56.9209,34.118
140360,Holmögadd A,20.7565,63.5949,6.0
140460,Holmön A,20.8645,63.807,6.535
75520,Horn A,15.8623,57.8861,89.822
146050,Hoting A,16.2356,64.0875,241.55
125440,Hunge A,15.0845,62.7504,343.238
89560,Huvudskär Ost A,19.1833,58.9334,4.0
83190,Hällum A,13.0379,58.3218,70.071
63160,Hästveda,13.9431,56.28,102.5
53530,Hörby A,13.6673,55.8624,112.812
112540,Idre Fjäll,12.8525,61.8897,866.126
170860,Jokkmokk Flygplats,20.142,66.491,275.4
136410,Junsele A,16.95,63.6839,218.766
139260,Järnäsklubb A,19.6731,63.4351,5.928
192840,Karesuando A,22.4435,68.4418,329.68
84310,Karlsborg,14.507,58.514,94.5
65090,Karlskrona-Söderstjerna,15.589,56.15,2.4
93230,Karlstad Aut,13.4728,59.361,46.0
188850,Katterjåkk A,18.168,68.4202,514.248
106160,Kerstinbo A,16.9738,60.2683,55.695
85460,Kettstaka A,15.0271,58.7162,224.876
94190,Kilsbergen-Suttarboda A,14.8956,59.2996,218.353
95540,Kloten A,15.2522,59.8703,283.21
124300,Klövsjöhöjden A,14.1542,62.4952,802.503
86420,Kolmården-Strömsfors A,16.3069,58.6892,153.613
133500,Korsvattnet A,13.5009,63.8385,716.605
65510,Kosta,15.471,56.841,230.0
82360,Kroppefjäll-Granan A,12.1973,58.6065,173.75
136090,Krångede A,16.1699,63.1512,183.123
117430,Kuggören A,17.5216,61.7027,8.568
85390,Kvarn,15.434,58.645,71.9
167990,Kvikkjokk-Årrenjarka A,18.0198,66.8874,314.692
171790,Lakaträsk A,21.1285,66.2789,185.031
87440,Landsort A,17.8684,58.7429,17.484
180770,Latnivaara A,20.2704,67.2551,453.191
85240,Linköping-Malmslätt,15.523,58.398,94.0
